HOUSEHOLD_ID,IN_TPB,IN_BMC,HOME_STATE_FIPS,HOME_STATE_PUMA,AREA_TYPE,HOME_STATE_COUNTY_FIPS,HOME_TRACT_FIPS,HOME_TPB_TAZ,HOME_BMC_TAZ,HOME_TYPE,MPO_HOME_TYPE,HOME_OWNERSHIP,MPO_HOME_OWNERSHIP,HHSIZE,NUMSTUDENTS,NUMDRIVERS,NUMWORKERS,NUMDISABILITIES,NUMVEHICLE,NUMVEHICLE_TRANSPONDER,NUMBICYCLE,HH_INCOME_DETAILED,MPO_HH_INCOME_DETAILED,HH_INCOME_BROAD,MPO_HH_INCOME_BROAD,TDATE_STRING,TDATE_DOW,HHTRIPS,PACKAGE_DELIVERED,FOOD_DELIVERED,SERVICE_DELIVERED,WTHHFIN,HOME_OWNERSHIP_IMP,HH_INCOME_DETAILED_IMP,NUMDISABILITIES_IMP
180169223,1,1,24,24_01107,0,24033,801905,833,2233,1,1,1,1,2,0,2,1,0,3,1,0,8,9,2,2,2018-07-18,3,3,0,0,0,128,0,0,0
180169251,1,1,24,24_00901,13,24027,602304,2978,1258,1,-9,1,-9,6,3,2,3,0,2,1,0,8,-9,2,-9,2018-06-13,3,10,0,0,0,412.25774789,0,0,0
180169267,1,1,24,24_01003,1,24031,700817,742,2142,3,4,2,2,1,0,1,1,0,1,1,0,5,6,2,2,2018-04-09,1,3,0,0,0,101,0,0,0
180169284,1,0,51,51_59307,0,51059,482100,1732,-9,2,2,1,1,2,0,2,2,0,2,1,1,7,8,2,2,2018-06-04,1,10,1,0,0,161,0,0,0
180169303,1,0,51,51_59302,0,51059,415900,2078,-9,1,1,1,1,2,0,2,1,0,2,2,0,5,6,2,2,2018-03-26,1,8,1,0,0,131,0,1,0
180169341,1,1,24,24_01103,1,24033,804002,1030,2430,3,5,2,2,2,0,2,2,0,2,0,1,6,7,2,2,2018-02-26,1,7,0,0,0,96,0,0,0
180169372,1,0,24,24_01600,1,24017,850706,3192,-9,1,1,1,1,3,0,3,2,0,3,1,0,8,9,2,2,2018-04-03,2,4,0,0,0,58,0,0,0
180169387,1,0,51,51_01301,0,51013,100200,1425,-9,1,1,1,1,2,0,2,2,0,2,1,0,8,9,2,2,2018-08-31,5,12,0,0,0,181,0,1,0
180169405,1,0,51,51_51245,1,51683,910202,2631,-9,1,1,1,1,2,0,2,2,0,3,1,0,5,6,2,2,2018-03-30,5,15,0,0,0,37,0,0,0
180169414,1,1,11,11_00102,0,11001,001901,125,1524,2,2,1,1,2,0,2,2,0,2,2,0,7,8,2,2,2018-04-03,2,6,0,0,0,94,0,0,0
180169419,1,1,24,24_00302,1,24021,750600,2928,2913,1,1,1,1,2,0,2,0,0,2,0,0,8,10,2,2,2018-09-10,1,5,1,0,0,52,0,0,0
180169451,1,1,24,24_00400,12,24013,505206,3271,1065,1,-9,1,-9,1,0,1,1,0,2,0,1,8,-9,2,-9,2018-01-23,2,5,0,0,0,31.049670916,0,0,0
180169504,1,1,24,24_00901,13,24027,602303,2979,1269,1,-9,1,-9,2,0,2,2,0,3,3,1,8,-9,2,-9,2018-04-17,2,6,0,0,0,133.84333994,0,1,0
